HTML,TAG,TC,LTC,TG,P,CTTD
"<!DOCTYPE html>
",[],0,0,0,0,0
,[],0,0,0,0,0
"<html dir=""ltr"" lang=""en-US"" xmlns=""https://www.w3.org/1999/xhtml"" xmlns:fb=""https://www.facebook.com/2008/fbml""></html>",['html'],0,0,1,0,0
<head></head>,['head'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,1,0,0
<body></body>,['body'],0,0,1,0,0
"<div id=""fb-root""></div>",['div'],0,0,2,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
"<div class=""full-body""></div>",['div'],0,0,1,0,0
"<div class=""pages""></div>",['div'],0,0,1,0,0
"<div class=""top-nav""></div>",['div'],0,0,1,0,0
"<ul class=""lang""></ul>",['ul'],0,0,1,0,0
"<li><a class=""fade"" href=""https://www.tempo.co"">Indonesia</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a class=""fade"" href=""https://en.tempo.co"">English</a></li>","['li', 'a']",0,1,4,0,4.5
,[],0,0,1,0,0
"<div class=""top-space-login"" id=""login-top""></div>",['div'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,1,0,0
"<div class=""block-search""></div>",['div'],0,0,1,0,0
"<form action=""https://search.tempo.co/index.php/search/result"" method=""GET""></form>",['form'],0,0,1,0,0
"<input class=""search-button"" name=""submit"" type=""submit"" value=""""/>",['input'],0,0,1,0,0
"<input name=""type"" type=""hidden"" value=""semua""/>",['input'],0,0,1,0,0
"<input name=""fld"" type=""hidden"" value=""news""/>",['input'],0,0,1,0,0
"<input class=""search-bar"" name=""vSearch"" placeholder=""search..."" required="""" type=""text""/>",['input'],0,0,1,0,0
,[],0,0,5,0,0
,[],0,0,1,0,0
"<div class=""top-medsos""></div>",['div'],0,0,1,0,0
"<div class=""top-twitter""><a class=""fade"" href=""https://twitter.com/tempodotco"" title=""twitter""> </a></div>","['div', 'a']",0,0,4,0,0
"<div class=""top-facebook""><a class=""fade"" href=""https://www.facebook.com/TempoMedia"" title=""facebook""> </a></div>","['div', 'a']",0,0,4,0,0
"<div class=""top-google""><a class=""fade"" href=""https://plus.google.com/109335234362909335582/posts"" title=""google+""> </a></div>","['div', 'a']",0,0,4,0,0
"<div class=""top-rss""><a class=""fade"" href=""https://rss.tempo.co/index.php/teco/news/feed"" title=""RSS""> </a></div>","['div', 'a']",0,0,4,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
"<header class=""m15-b m15-t""></header>",['header'],0,0,1,0,0
"<div class=""logo-tempo kanal-head""></div>",['div'],0,0,1,0,0
"<h2 class=""logo-kanal""><a href=""https://www.tempo.co"" title=""tempo.co""></a></h2>","['h2', 'a']",0,0,4,0,0
"<h1><a href=""https://tekno.tempo.co"" title=""tekno"">tekno</a></h1>","['h1', 'a']",0,1,4,0,4.5
,[],0,0,1,0,0
"<div class=""block-toplink m5-b""></div>",['div'],0,0,2,0,0
"<ul class=""top-link""></ul>",['ul'],0,0,1,0,0
"<li style=""color:#333;"">selasa, 04 oktober 2016</li>",['li'],4,0,2,0,6.0
"<li><a href=""https://majalah.tempo.co"" target=""_blank"" title=""Majalah Tempo"">Majalah Tempo</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""https://magz.tempo.co"" target=""_blank"" title=""Tempo English"">Tempo English</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""http://koran.tempo.co"" target=""_blank"" title=""Koran Tempo"">Koran Tempo</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""http://komunika.tempo.co"" target=""_blank"" title=""Komunika"">Komunika</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""https://store.tempo.co"" target=""_blank"" title=""Tempo Store"">Tempo Store</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""https://investigasi.tempo.co"" target=""_blank"" title=""Investigasi"">Investigasi</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""https://www.tempo.co/fokus"">Fokus</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""https://edsus.tempo.co"" target=""_blank"" title=""Edisi Khusus"">Edisi Khusus</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""https://indonesiana.tempo.co"" target=""_blank"" title=""Indonesiana"">Indonesiana</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""https://www.tempo.co/inforial"">Business Update</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""https://www.tempo.co/indikator"">Indikator</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""http://www.tempochannel.com"">Tempo Channel</a></li>","['li', 'a']",0,2,4,0,5.0
"<li><a href=""https://bola.tempo.co/skor"" style=""color:#a7be39;"">Live Score</a></li>","['li', 'a']",0,2,4,0,5.0
,[],0,0,1,0,0
,[],0,0,1,0,0
"<div class=""block-outmenu""></div>",['div'],0,0,2,0,0
"<div class=""block-mainmenu m15-b""></div>",['div'],0,0,1,0,0
"<ul class=""main-menu""></ul>",['ul'],0,0,1,0,0
"<li class=""home""><a href=""https://www.tempo.co"" title=""Home""></a></li>","['li', 'a']",0,0,4,0,0
"<li class=""logos""><a href=""https://www.tempo.co"" title=""Home""></a></li>","['li', 'a']",0,0,4,0,0
<li></li>,['li'],0,0,1,0,0
