HTML,TAG,TC,LTC,TG,P,CTTD
"<!DOCTYPE html>
",[],0,0,0,0,0
,[],0,0,0,0,0
"<html lang=""en""></html>",['html'],0,0,1,0,0
<head></head>,['head'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,1,0,0
<body></body>,['body'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
"<div class=""container pt4""></div>",['div'],0,0,1,0,0
,[],0,0,0,0,0
"<div class=""kcm-topbar""></div>",['div'],0,0,1,0,0
<ul></ul>,['ul'],0,0,1,0,0
"<li class=""active""><a href=""http://www.kompas.com"" target=""_blank"">Kompas.com</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""http://www.kompasiana.com"" target=""_blank"">Kompasiana.com</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""http://www.kompaskarier.com"" target=""_blank"">KompasKarier.com</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""http://www.gramedia.com"" target=""_blank"">Gramedia.com</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""http://www.otomania.com"" target=""_blank"">Otomania.com</a></li>","['li', 'a']",0,1,4,0,4.5
"<li><a href=""http://www.juara.net"" target=""_blank"">Juara.net</a></li>","['li', 'a']",0,1,4,0,4.5
,[],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
"<div class=""row kcm-header""></div>",['div'],0,0,1,0,0
"<div class=""header-top clearfix""></div>",['div'],0,0,1,0,0
"<div class=""kcm-span4 header-top-left""></div>",['div'],0,0,1,0,0
"<ul class=""msmall""></ul>",['ul'],0,0,1,0,0
"<li><a href=""http://print.kompas.com/"" target=""_blank"">Harian Kompas</a> | </li>","['li', 'a']",1,2,4,0,6.0
"<li><a href=""http://www.kompas.tv/"" target=""_blank"">Kompas TV</a></li>","['li', 'a']",0,2,4,0,5.0
,[],0,0,1,0,0
"<div class=""log""><a href=""http://www.kompas.com""><img src=""http://assets.kompas.com/data/2015/kanal/bisnis/images/kcm-logo.png""/></a></div>","['div', 'a', 'img']",0,0,6,0,0
"<div class=""msmall grey""></div>",['div'],0,0,1,0,0
"Selasa, 4 Oktober 2016				",[],4,0,1,0,5.0
,[],0,0,1,0,0
"<div class=""kcm-span5 header-top-center""></div>",['div'],0,0,1,0,0
"<h1 class=""tcenter xbold mt1"">Ekonomi</h1>",['h1'],1,0,2,0,3.0
,[],0,0,1,0,0
"<div class=""kcm-span4 header-top-right tright""></div>",['div'],0,0,1,0,0
"<div class=""msmall""></div>",['div'],0,0,1,0,0
"<span id=""txt_name""></span>",['span'],0,0,2,0,0
"<span id=""txt_status""></span>",['span'],0,0,2,0,0
"<span id=""txt_register""></span>",['span'],0,0,1,0,0
"<a class=""fn_register"" href=""https://sso.kompas.com/register/a29tcGFz"">Register</a> |",['a'],1,1,2,0,3.5
,[],0,0,1,0,0
"<span id=""txt_signin""></span>",['span'],0,0,1,0,0
"<a class=""fn_login"" href=""https://sso.kompas.com/login/a29tcGFz/aHR0cDovL2Jpc25pc2tldWFuZ2FuLmtvbXBhcy5jb20vcmVhZC8yMDE2LzEwLzA0LzA5MDg0NDcyNi9saW1hLmplbmlzLmhhcnRhLmluaS5wYWxpbmcuYmFueWFrLmRpdW5na2FwLnBlbW9ob24udGF4LmFtbmVzdHkuYXBhLnNhamEu"">Login</a>",['a'],0,1,2,0,2.5
,[],0,0,1,0,0
,[],0,0,1,0,0
"<div class=""kcm-search""></div>",['div'],0,0,1,0,0
"<form id=""frmSearch"" name=""frmSearch""></form>",['form'],0,0,1,0,0
"<span class=""icon-search""></span>",['span'],0,0,2,0,0
"<input id=""search"" name=""search"" onblur=""if (this.value == '') {this.value = 'cari';}"" onfocus=""if (this.value == 'cari') {this.value = '';}"" tabindex=""1"" type=""text"" value=""cari""/>",['input'],0,0,1,0,0
"<input type=""submit"" value=""Go""/>",['input'],0,0,2,0,0
,[],0,0,2,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,0,0,0
"<div class=""kcm-bottom-head""></div>",['div'],0,0,1,0,0
