HTML,TAG,TC,LTC,TG,P,CTTD
"<!DOCTYPE html>
",[],0,0,0,0,0
,[],0,0,0,0,0
<html></html>,['html'],0,0,1,0,0
<head></head>,['head'],0,0,1,0,0
,[],0,0,1,0,0
<body></body>,['body'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
"<div class=""bn_skin bn_skin1""></div>",['div'],0,0,1,0,0
"<div class=""skin3""></div>",['div'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
"<div class=""bn_skin bn_skin2""></div>",['div'],0,0,1,0,0
"<div class=""skin3""></div>",['div'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
"<div class=""bottom_banner_bar"" style=""display:none;""></div>",['div'],0,0,1,0,0
"<div align=""left"" id=""bottom_banner""></div>",['div'],0,0,1,0,0
"<div class=""container_topbanner""></div>",['div'],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
,[],0,0,0,0,0
"<div class=""container""></div>",['div'],0,0,1,0,0
"<div class=""header navbar_ga""></div>",['div'],0,0,1,0,0
"<a href=""//finance.detik.com/""></a>",['a'],0,0,1,0,0
"<img alt=""detikfinance"" class=""logodetik"" src=""https://cdn.detik.net.id/finance/images/logo-detikfinance.png""/>",['img'],0,0,2,0,0
,[],0,0,1,0,0
"<div class=""fr"" id=""leaderboard""></div>",['div'],0,0,1,0,0
,[],0,0,1,0,0
,[],0,0,1,0,0
"<div class=""header_top navbar_ga""></div>",['div'],0,0,1,0,0
"<div class=""menu""></div>",['div'],0,0,1,0,0
<ul></ul>,['ul'],0,0,1,0,0
"<li class=""menud""><a href=""//detik.com""><img alt="""" src=""https://cdn.detik.net.id/finance/images/favicon_detikcom.png""/></a><li></li></li>","['li', 'a', 'img', 'li']",0,0,6,0,0
"<li><a href=""//finance.detik.com/"">Home</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
"<li><a href=""//finance.detik.com/ekonomi-bisnis"">Ekonomi Bisnis</a><li></li></li>","['li', 'a', 'li']",0,2,4,0,5.0
"<li><a href=""//finance.detik.com/finansial"">Finansial</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
"<li><a href=""//finance.detik.com/peluang-usaha"">Peluang Usaha</a><li></li></li>","['li', 'a', 'li']",0,2,4,0,5.0
"<li><a href=""//finance.detik.com/perencanaan-keuangan"">Perencanaan Keuangan</a><li></li></li>","['li', 'a', 'li']",0,2,4,0,5.0
"<li><a href=""//finance.detik.com/properti"">Properti</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
"<li><a href=""//finance.detik.com/energi"">Energi</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
"<li><a href=""//finance.detik.com/industri"">Industri</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
"<li><a href=""//finance.detik.com/dpreneur"">d’Preneur</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
"<li><a href=""//finance.detik.com/indeks"">Indeks</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5
,[],0,0,23,0,0
"<div class=""clearfix""></div>",['div'],0,0,2,0,0
,[],0,0,1,0,0
"<div class=""menu2""></div>",['div'],0,0,1,0,0
"<a href=""//finance.detik.com/konsultasi"">Konsultasi</a> ·",['a'],1,1,2,0,3.5
"<a class=""new"" href=""//solusiukm.detik.com/""> SolusiUKM <span>new</span></a> ·","['a', 'span']",1,2,4,0,6.0
"<a href=""//finance.detik.com/infografis"">Infografis</a> ·",['a'],1,1,2,0,3.5
"<a href=""//finance.detik.com/bursa-valas"">Bursa Valas</a> ·",['a'],1,2,2,0,4.0
"<a href=""//finance.detik.com/moneter"">Moneter</a> ·",['a'],1,1,2,0,3.5
"<a href=""//finance.detik.com/market-research"">Market Research</a> ·",['a'],1,2,2,0,4.0
"<a href=""//finance.detik.com/foto"">Foto</a> ·",['a'],1,1,2,0,3.5
"<a href=""//finance.detik.com/video"">BizVideo</a> ·",['a'],1,1,2,0,3.5
"<a href=""//finance.detik.com/mostpopular"">Most Popular</a> ·",['a'],1,2,2,0,4.0
"<a href=""//finance.detik.com/indeksfokus"">Fokus</a>",['a'],0,1,2,0,2.5
,[],0,0,1,0,0
,[],0,0,1,0,0
"<div class=""clearfix""></div>",['div'],0,0,2,0,0
"<div class=""content detail_s"" data-sticky_parent=""""></div>",['div'],0,0,1,0,0
"<div class=""detail_content""></div>",['div'],0,0,1,0,0
"<div class=""breadcrumb breadcrumb_ga""></div>",['div'],0,0,1,0,0
"<a href=""//finance.detik.com/"">detikFinance</a> /",['a'],1,1,2,0,3.5
"<a href=""//finance.detik.com/moneter"">Moneter</a> /",['a'],1,1,2,0,3.5
"<a href=""#"">Detail Berita</a>",['a'],0,2,2,0,3.0
,[],0,0,1,0,0
"<div class=""btn_like""></div>",['div'],0,0,1,0,0
"<span class=""fol fl"">Follow detikFinance</span>",['span'],2,0,2,0,4.0
"<a class=""fb"" href=""https://facebook.com/detikfinance"" target=""_blank""></a>",['a'],0,0,1,0,0
