,Unnamed: 0,HTML,TAG,Words,TC,LTC,TG,P,CTTD,CTTDs,candidate
1552,1552,Setelah lama vakum Gisella Anastasia ingin kembali ke dunia musik. Istri dari Gading Marten itu berencana membuat album solo.                ,[],Setelah lama vakum Gisella Anastasia ingin kembali ke dunia musik. Istri dari Gading Marten itu berencana membuat album solo.                ,19,0,1,0,18.0,8.4,9
1553,1553,,[],,0,0,1,0,0.0,4.2,9
1567,1567,Kim Kardashian tiba-tiba 'diserang' oleh lima pria bersenjata ketika tengah berada di Paris. Sejumlah perhiasan senilai jutaan dolar pun raib.                ,[],Kim Kardashian tiba-tiba 'diserang' oleh lima pria bersenjata ketika tengah berada di Paris. Sejumlah perhiasan senilai jutaan dolar pun raib.                ,20,0,1,0,19.0,8.8,10
1568,1568,,[],,0,0,1,0,0.0,4.4,10
1580,1580,"Kebahagiaan Maudy Ayunda makin lengkap saja. Setelah lulus dari Universitas Oxford di Inggris, ia juga baru saja merilis sebuah single baru.                ",[],"Kebahagiaan Maudy Ayunda makin lengkap saja. Setelah lulus dari Universitas Oxford di Inggris, ia juga baru saja merilis sebuah single baru.                ",21,0,1,0,20.0,9.2,11
1581,1581,,[],,0,0,1,0,0.0,4.6,11
1608,1608,"Teuku Wisnu berencana untuk mengganti namanya. Proses pun sudah dilakukan, tapi belum juga selesai hingga saat ini.                ",[],"Teuku Wisnu berencana untuk mengganti namanya. Proses pun sudah dilakukan, tapi belum juga selesai hingga saat ini.                ",17,0,1,0,16.0,7.6,12
1609,1609,,[],,0,0,1,0,0.0,3.8,12
1622,1622,"Siapa yang tak gemas melihat lucunya Gempita Nora Marten. Namun jika disandingkan dengan sang ibu, Gisel jadi salah fokus nggak guys?                ",[],"Siapa yang tak gemas melihat lucunya Gempita Nora Marten. Namun jika disandingkan dengan sang ibu, Gisel jadi salah fokus nggak guys?                ",21,0,1,0,20.0,9.2,13
1623,1623,,[],,0,0,1,0,0.0,4.6,13
1635,1635,Maudy Ayunda baru saja menyelesaikan studinya di Oxford. Kabarnya ia adalah orang Indonesia pertama yang lulus di jurusannya.                ,[],Maudy Ayunda baru saja menyelesaikan studinya di Oxford. Kabarnya ia adalah orang Indonesia pertama yang lulus di jurusannya.                ,18,0,1,0,17.0,8.0,14
1636,1636,,[],,0,0,1,0,0.0,4.0,14
1649,1649,"Maudy Ayunda baru saja merayakan wisuda dari Oxford University, Inggris. Bahkan menurutnya ia menjadi orang Indonesia pertama yang lulus di jurusan tersebut.                ",[],"Maudy Ayunda baru saja merayakan wisuda dari Oxford University, Inggris. Bahkan menurutnya ia menjadi orang Indonesia pertama yang lulus di jurusan tersebut.                ",22,0,1,0,21.0,9.6,15
1650,1650,,[],,0,0,1,0,0.0,4.8,15
1662,1662,"Perceraian Brad Pitt dan Angelina Jolie tak hanya melukai satu sama lain saja. Namun, perceraian tersebut juga berdampak buruk bagi anak-anak mereka.                ",[],"Perceraian Brad Pitt dan Angelina Jolie tak hanya melukai satu sama lain saja. Namun, perceraian tersebut juga berdampak buruk bagi anak-anak mereka.                ",22,0,1,0,21.0,9.6,16
1663,1663,,[],,0,0,1,0,0.0,4.8,16
1675,1675,"Ayudia Bing Slamet bakal mengurangi syuting setelah melahirkan anak pertamanya, Dia Sekala Bumi pada 24 Mei lalu. Kini, ia fokus dengan birth photography.                ",[],"Ayudia Bing Slamet bakal mengurangi syuting setelah melahirkan anak pertamanya, Dia Sekala Bumi pada 24 Mei lalu. Kini, ia fokus dengan birth photography.                ",23,0,1,0,22.0,10.0,17
1676,1676,,[],,0,0,1,0,0.0,5.0,17
1689,1689,Acha Septriasa terlihat mengenakan cincin di jari manis saat menghadiri suatu acara. Ia kini tengah menjalin kasih dengan kekasih barunya pada Maret lalu.                ,[],Acha Septriasa terlihat mengenakan cincin di jari manis saat menghadiri suatu acara. Ia kini tengah menjalin kasih dengan kekasih barunya pada Maret lalu.                ,23,0,1,0,22.0,10.0,18
1690,1690,,[],,0,0,1,0,0.0,5.0,18
1728,1728,Damita Argoebie mengaku puas saat menyaksikan film perdananya menggelar acara premier akhir pekan kemarin. Ia mengatakan ini adalah film yang sangat menghibur.                ,[],Damita Argoebie mengaku puas saat menyaksikan film perdananya menggelar acara premier akhir pekan kemarin. Ia mengatakan ini adalah film yang sangat menghibur.                ,22,0,1,0,21.0,9.6,19
1729,1729,,[],,0,0,1,0,0.0,4.8,19
1741,1741,"""Sebutin Mr X-nya siapa, kemarin katanya karena ada Mr X coba diungkapkan dulu,"" kata Deddy saat ditemui di Pengadilan Negeri Jakarta Pusat, Senin (3/9/2016).                ",[],"""Sebutin Mr X-nya siapa, kemarin katanya karena ada Mr X coba diungkapkan dulu,"" kata Deddy saat ditemui di Pengadilan Negeri Jakarta Pusat, Senin (3/9/2016).                ",24,0,1,0,23.0,10.4,20
1742,1742,,[],,0,0,1,0,0.0,5.2,20
1755,1755,"Dalam rangka seabad kelahiran Otto Djaya, Galeri Nasional Indonesia menggelar pameran '100 Tahun Otto Djaya (1916-2012)'. Penasaran, berikut foto-fotonya:                ",[],"Dalam rangka seabad kelahiran Otto Djaya, Galeri Nasional Indonesia menggelar pameran '100 Tahun Otto Djaya (1916-2012)'. Penasaran, berikut foto-fotonya:                ",19,0,1,0,18.0,8.4,21
1756,1756,,[],,0,0,1,0,0.0,4.2,21
1768,1768,"Bulan ini Korn segera merilis album baru. Tapi untuk permulaannya, band nu metal asal Amerika Serikat itu lebih dulu meluncurkan single 'A Different World'.                ",[],"Bulan ini Korn segera merilis album baru. Tapi untuk permulaannya, band nu metal asal Amerika Serikat itu lebih dulu meluncurkan single 'A Different World'.                ",24,0,1,0,23.0,10.4,22
1769,1769,,[],,0,0,1,0,0.0,5.2,22
1781,1781,Generasi ketiga Marlupi Dance Academy (MDA) berhasil merintis dance company di Tanah Air pada 1 Oktober lalu.                ,[],Generasi ketiga Marlupi Dance Academy (MDA) berhasil merintis dance company di Tanah Air pada 1 Oktober lalu.                ,17,0,1,0,16.0,7.6,23
1782,1782,,[],,0,0,1,0,0.0,3.8,23
1794,1794,Ringgo Agus Rahman dan Sabai Morscheck kini tengah berbahagia karena keluarganya semakin sempurna sejak kelahiran Bjorka. Mereka pun ingin tambah momongan.                ,[],Ringgo Agus Rahman dan Sabai Morscheck kini tengah berbahagia karena keluarganya semakin sempurna sejak kelahiran Bjorka. Mereka pun ingin tambah momongan.                ,21,0,1,0,20.0,9.2,24
1795,1795,,[],,0,0,1,0,0.0,4.6,24
1807,1807,"Mario Teguh beberapa waktu lalu pernah menatang Ario Kiswinar, untuk membuktikan dirinya apakah benar anak kandungnya atau tidak.                ",[],"Mario Teguh beberapa waktu lalu pernah menatang Ario Kiswinar, untuk membuktikan dirinya apakah benar anak kandungnya atau tidak.                ",18,0,1,0,17.0,8.0,25
1808,1808,,[],,0,0,1,0,0.0,4.0,25
1820,1820,Ario Kiswinar sepertinya tidak ingin berhenti di tengah jalan meski sudah jelas Mario Teguh tidak mengakuinya sebagai anak. Kenapa?                ,[],Ario Kiswinar sepertinya tidak ingin berhenti di tengah jalan meski sudah jelas Mario Teguh tidak mengakuinya sebagai anak. Kenapa?                ,19,0,1,0,18.0,8.4,26
1821,1821,,[],,0,0,1,0,0.0,4.2,26
1834,1834,Marcella Zalianty dan para insan film bersatu membentuk PARFI 1956. Pembentukan organisasi itu untuk menyelamatkan PARFI yang dipimpin Gatot Brajamusti.                ,[],Marcella Zalianty dan para insan film bersatu membentuk PARFI 1956. Pembentukan organisasi itu untuk menyelamatkan PARFI yang dipimpin Gatot Brajamusti.                ,20,0,1,0,19.0,8.8,27
1835,1835,,[],,0,0,1,0,0.0,4.4,27
1847,1847,"Ibunda Asty Ananta, Yuntianingrum Agustarini mengatakan sang buah hati dan Hendra sempat meminta izin kepadanya sebelum pernikaha itu digelar.                ",[],"Ibunda Asty Ananta, Yuntianingrum Agustarini mengatakan sang buah hati dan Hendra sempat meminta izin kepadanya sebelum pernikaha itu digelar.                ",19,0,1,0,18.0,8.4,28
1848,1848,,[],,0,0,1,0,0.0,4.2,28
1861,1861,Kim So Hyun terlihat cantik saat ditemui detikHOT dalam wawancara eksklusif di Singapura. Ia terlihat memesona meski tampil simple di acara tersebut.                ,[],Kim So Hyun terlihat cantik saat ditemui detikHOT dalam wawancara eksklusif di Singapura. Ia terlihat memesona meski tampil simple di acara tersebut.                ,22,0,1,0,21.0,9.6,29
1862,1862,,[],,0,0,1,0,0.0,4.8,29
1888,1888,Balai lelang internasional Sotheby Hong Kong menggandeng T.O.P Bigbang untuk menjadi kurator bagi 28 karya seni yang dilelang.                ,[],Balai lelang internasional Sotheby Hong Kong menggandeng T.O.P Bigbang untuk menjadi kurator bagi 28 karya seni yang dilelang.                ,18,0,1,0,17.0,8.0,30
1889,1889,,[],,0,0,1,0,0.0,4.0,30
1914,1914,"Ario Kiswinar muncul di Hitam Putih Trans7 dengan pengakuan sebagai anak kandung Mario Teguh yang tidak diakui. Keesokan harinya, giliran Mario yang muncul.                ",[],"Ario Kiswinar muncul di Hitam Putih Trans7 dengan pengakuan sebagai anak kandung Mario Teguh yang tidak diakui. Keesokan harinya, giliran Mario yang muncul.                ",23,0,1,0,22.0,10.0,31
1915,1915,,[],,0,0,1,0,0.0,5.0,31
1927,1927,"Kim Kardashian tak hanya disekap oleh sejumlah pria bersenjata di kamar hotelnya di Paris. Namun, barang-barang pribadinya pun ikut diambil.                ",[],"Kim Kardashian tak hanya disekap oleh sejumlah pria bersenjata di kamar hotelnya di Paris. Namun, barang-barang pribadinya pun ikut diambil.                ",20,0,1,0,19.0,8.8,32
1928,1928,,[],,0,0,1,0,0.0,4.4,32
1980,1980,Hanya mengandalkan wajah rupawan dan bakat namun tak memiliki etos kerja yang baik apalah artinya sebuah kesuksesan.                ,[],Hanya mengandalkan wajah rupawan dan bakat namun tak memiliki etos kerja yang baik apalah artinya sebuah kesuksesan.                ,17,0,1,0,16.0,7.6,33
1981,1981,,[],,0,0,1,0,0.0,3.8,33
1994,1994,Asty Ananta diam-diam melangsungkan pernikahannya bersama Hendra di Bali. Tampak konsep serba putih dan berlokasi di pinggir pantai menjadi pilihannya.                ,[],Asty Ananta diam-diam melangsungkan pernikahannya bersama Hendra di Bali. Tampak konsep serba putih dan berlokasi di pinggir pantai menjadi pilihannya.                ,20,0,1,0,19.0,8.8,34
1995,1995,,[],,0,0,1,0,0.0,4.4,34
2007,2007,Asty Ananta menikah dengan Hendra secara diam-diam bahkan tanpa memiliki restu dari keluarganya. Ibunda Asty bahkan mengaku tidak mengenal sosok Hendra.                ,[],Asty Ananta menikah dengan Hendra secara diam-diam bahkan tanpa memiliki restu dari keluarganya. Ibunda Asty bahkan mengaku tidak mengenal sosok Hendra.                ,21,0,1,0,20.0,9.2,35
2008,2008,,[],,0,0,1,0,0.0,4.6,35
2020,2020,Asty Ananta menikah diam-diam dengan pria bernama Hendra di Bali. Pernikahan mereka terlihat begitu menyenangkan dengan berbagai pesta di pantai.                ,[],Asty Ananta menikah diam-diam dengan pria bernama Hendra di Bali. Pernikahan mereka terlihat begitu menyenangkan dengan berbagai pesta di pantai.                ,20,0,1,0,19.0,8.8,36
2021,2021,,[],,0,0,1,0,0.0,4.4,36
