,Unnamed: 0,HTML,TAG,Words,TC,LTC,TG,P,CTTD,CTTDs,candidate
82,82,<div></div>,['div'],,0,0,1,0,0.0,10.3,0
83,83,<h2>music</h2>,['h2'],music,1,0,2,0,0.0,21.1,0
84,84,<h1>Gisel Ingin Lahirkan Album Solo</h1>,['h1'],Gisel Ingin Lahirkan Album Solo,5,0,2,100,103.0,42.4,0
85,85,"<span>Senin, 03 Okt 2016 21:28 WIB</span>  ·",['span'],"Senin, 03 Okt 2016 21:28 WIB  ·",7,0,2,0,5.0,23.0,0
86,86,<span>Hanif Hawari - detikHOT</span>,['span'],Hanif Hawari - detikHOT,4,0,2,0,2.0,12.1,0
87,87,,[],,0,0,1,0,0.0,0.9,0
111,111,,[],,0,0,1,0,0.0,11.9,5
112,112, <div></div>,['div'], ,0,0,2,0,0.0,23.8,5
113,113,"<b>Jakarta</b> - Setelah lama vakum Gisella Anastasia ingin kembali ke dunia musik. Istri dari Gading Marten itu berencana membuat album solo.Wanita yang namanya dikenal lewat sebuah ajang pencarian bakat itu memang lebih sering tampil sebagai rekan duet. Tapi kini ibu satu anak tersebut mau punya karya sendiri.""Iya mau bikin album akhirnya setelah bertahun-tahun punya single. Single doang duet-duet melulu, kali ini pengen punya album solo doain aja lancar, tutur Gisel saat ditemui di Plaza Senayan, Jakarta Pusat, Senin (3/10/2016).Saat ini, Gisel menyebutkan rencana tersebut sudah dalam proses produksi. Hanya saja ia belum bisa memastikan kapan jadwal perilisannya.""Sekarang prosesnya lagi ngumpulin lagu, kemarin udah take juga. Baru take satu sih yang benar. Ciptaan aku bareng sama Opung Irwan Simanjuntak, berdua ciptainnya,"" tambahnya.",['b'],"Jakarta - Setelah lama vakum Gisella Anastasia ingin kembali ke dunia musik. Istri dari Gading Marten itu berencana membuat album solo.Wanita yang namanya dikenal lewat sebuah ajang pencarian bakat itu memang lebih sering tampil sebagai rekan duet. Tapi kini ibu satu anak tersebut mau punya karya sendiri.""Iya mau bikin album akhirnya setelah bertahun-tahun punya single. Single doang duet-duet melulu, kali ini pengen punya album solo doain aja lancar, tutur Gisel saat ditemui di Plaza Senayan, Jakarta Pusat, Senin (3/10/2016).Saat ini, Gisel menyebutkan rencana tersebut sudah dalam proses produksi. Hanya saja ia belum bisa memastikan kapan jadwal perilisannya.""Sekarang prosesnya lagi ngumpulin lagu, kemarin udah take juga. Baru take satu sih yang benar. Ciptaan aku bareng sama Opung Irwan Simanjuntak, berdua ciptainnya,"" tambahnya.",121,0,2,0,119.0,47.6,5
114,114,<strong>(dar/dar)</strong>,['strong'],(dar/dar),1,0,2,0,0.0,23.8,5
115,115,<div></div>,['div'],,0,0,1,0,0.0,11.9,5
116,116,<div></div>,['div'],,0,0,1,0,0.0,0.0,5
