,Unnamed: 0,HTML,TAG,Words,TC,LTC,TG,P,CTTD,CTTDs,candidate
163,163,PERWAKILAN SUPORTER INDONESIA GURUDUK KEMENPORA,[],PERWAKILAN SUPORTER INDONESIA GURUDUK KEMENPORA,5,0,0,0,5.0,12.3,0
164,164,,[],,0,0,1,0,0.0,21.6,0
165,165,<h1>Perwakilan Suporter Indonesia Guruduk Kemenpora</h1>,['h1'],Perwakilan Suporter Indonesia Guruduk Kemenpora,5,0,2,100,103.0,41.7,0
166,166,<div>15-08-2016 20:59</div>,['div'],15-08-2016 20:59,2,0,2,0,0.0,20.6,0
167,167,<div></div>,['div'],,0,0,1,0,0.0,10.8,0
168,168,<div></div>,['div'],,0,0,1,0,0.0,1.0,0
170,170,,[],,0,0,1,0,0.0,17.5,4
171,171,<div></div>,['div'],,0,0,1,0,0.0,33.5,4
172,172,"<b>Bola.net</b> - Perwakilan sejumlah suporter klub-klub Indonesia mendatangi Kantor Kementerian Pemuda dan Olahraga (Kemenpora), Senayan, Jakarta, Senin (15/8). Mereka hadir karena undangan yang diberikan oleh pihak Kemenpora.17 perwakilan suporter yang terlihat hadir diantaranya Richard Ahmad (The Jakmania), Andi Peci (Bonek), Prapto Koting (Pasopati), Lily (Slemania), Bobby (Basoka), Heru (Bobotoh), Arie Eko (Singa Mania), Paulus (Panser Biru), dan beberapa perwakilan supporter lain. Kedatangan mereka disambut oleh Deputi IV Kemenpora Bidang Peningkatan Prestasi Olahraga, Gatot S Dewa Broto.Beberapa butir pembicaraan pun dilakukan oleh kedua belah pihak. Salah satunya terkait gagasan menciptakan perdamaian di antara kelompok suporter.""Intinya Pemerintah tidak memaksa suporter untuk berdamai. Mereka ingin semua mengalir secara natural karena itu merupakan salah satu bagian dari sepakbola,” ujar Gatot usai pertemuan.Gatot menambahkan, para pentolan suporter yang hadir berharap pemerintah dapat memperhatikan nasib mereka. Sebab, selama ini suporter dinilai telah termarjinalkan. Rencananya, jika program perdamaian antar suporter terwujud, pihak Kemenpora akan menemani kelompok suporter untuk menemui PSSI dan pihak kepolisian.""Setiap ada konflik suporter selalu tersingkirkan. Semoga apa yang disuarakan suporter bisa didengar PSSI. Soal sarasehan suporter kemungkinan diselenggarakan September,” pungkasnya. <b>(fit/asa)</b><div><h3>Baca Ini Juga:</h3><div><div><a data-te-category=""Insert Link"" data-te-label=""Minimalis, Madura United Boyong 16 Pemain ke Kandang Perseru"" data-te-tracked=""click"" href=""http://www.bola.net/indonesia/minimalis-madura-united-boyong-16-pemain-ke-kandang-perseru-602554.html"">Minimalis, Madura United Boyong 16 Pemain ke Kandang Perseru</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Madura United Berangkat Awal ke Kandang Perseru Serui"" data-te-tracked=""click"" href=""http://www.bola.net/indonesia/madura-united-berangkat-awal-ke-kandang-perseru-serui-397d59.html"">Madura United Berangkat Awal ke Kandang Perseru Serui</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Indra Sjafri Siap Evaluasi Performa Bali United"" data-te-tracked=""click"" href=""http://www.bola.net/indonesia/indra-sjafri-siap-evaluasi-performa-bali-united-0900bd.html"">Indra Sjafri Siap Evaluasi Performa Bali United</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Inilah Calon Pemain Baru Asal Asia di Bhayangkara SU"" data-te-tracked=""click"" href=""http://www.bola.net/indonesia/inilah-calon-pemain-baru-asal-asia-di-bhayangkara-su-ed14b2.html"">Inilah Calon Pemain Baru Asal Asia di Bhayangkara SU</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Mitra Kukar Kalah, Jafri Sastra Sebut Timnya Hampir Imbangi Persipura"" data-te-tracked=""click"" href=""http://www.bola.net/indonesia/mitra-kukar-kalah-jafri-sastra-sebut-timnya-hampir-imbangi-persipura-aff77f.html"">Mitra Kukar Kalah, Jafri Sastra Sebut Timnya Hampir Imbangi Persipura</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Milo: Arema Cronus Layak Menang di Kandang Sriwijaya FC"" data-te-tracked=""click"" href=""http://www.bola.net/indonesia/milo-arema-cronus-layak-menang-di-kandang-sriwijaya-fc-a8652a.html"">Milo: Arema Cronus Layak Menang di Kandang Sriwijaya FC</a></div></div></div>","['b', 'b', 'div', 'h3', 'div', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a']","Bola.net - Perwakilan sejumlah suporter klub-klub Indonesia mendatangi Kantor Kementerian Pemuda dan Olahraga (Kemenpora), Senayan, Jakarta, Senin (15/8). Mereka hadir karena undangan yang diberikan oleh pihak Kemenpora.17 perwakilan suporter yang terlihat hadir diantaranya Richard Ahmad (The Jakmania), Andi Peci (Bonek), Prapto Koting (Pasopati), Lily (Slemania), Bobby (Basoka), Heru (Bobotoh), Arie Eko (Singa Mania), Paulus (Panser Biru), dan beberapa perwakilan supporter lain. Kedatangan mereka disambut oleh Deputi IV Kemenpora Bidang Peningkatan Prestasi Olahraga, Gatot S Dewa Broto.Beberapa butir pembicaraan pun dilakukan oleh kedua belah pihak. Salah satunya terkait gagasan menciptakan perdamaian di antara kelompok suporter.""Intinya Pemerintah tidak memaksa suporter untuk berdamai. Mereka ingin semua mengalir secara natural karena itu merupakan salah satu bagian dari sepakbola,” ujar Gatot usai pertemuan.Gatot menambahkan, para pentolan suporter yang hadir berharap pemerintah dapat memperhatikan nasib mereka. Sebab, selama ini suporter dinilai telah termarjinalkan. Rencananya, jika program perdamaian antar suporter terwujud, pihak Kemenpora akan menemani kelompok suporter untuk menemui PSSI dan pihak kepolisian.""Setiap ada konflik suporter selalu tersingkirkan. Semoga apa yang disuarakan suporter bisa didengar PSSI. Soal sarasehan suporter kemungkinan diselenggarakan September,” pungkasnya. (fit/asa)Baca Ini Juga:Minimalis, Madura United Boyong 16 Pemain ke Kandang PerseruMadura United Berangkat Awal ke Kandang Perseru SeruiIndra Sjafri Siap Evaluasi Performa Bali UnitedInilah Calon Pemain Baru Asal Asia di Bhayangkara SUMitra Kukar Kalah, Jafri Sastra Sebut Timnya Hampir Imbangi PersipuraMilo: Arema Cronus Layak Menang di Kandang Sriwijaya FC",173,52,34,0,165.0,66.0,4
173,173,<div></div>,['div'],,0,0,1,0,0.0,33.0,4
