,Unnamed: 0,HTML,TAG,Words,TC,LTC,TG,P,CTTD,CTTDs,candidate
239,239,,[],,0,0,1,0,0.0,10.9,0
240,240,<div></div>,['div'],,0,0,1,0,0.0,23.3,0
241,241,"<h1>Di Kepri, Kapolri Diberi Gelar Datok Perdana Satria Wangsa. Apa Maknanya?</h1>",['h1'],"Di Kepri, Kapolri Diberi Gelar Datok Perdana Satria Wangsa. Apa Maknanya?",11,0,2,100,109.0,46.8,0
242,242,<h4>Majelis Agung Istiadat Kerajaan Riau-Lingga secara resmi memberikan gelar Datok Perdana Satria Wangsa kepada Kapolri Tito Karnavian.</h4>,['h4'],Majelis Agung Istiadat Kerajaan Riau-Lingga secara resmi memberikan gelar Datok Perdana Satria Wangsa kepada Kapolri Tito Karnavian.,17,0,2,0,15.0,28.2,0
243,243,"<div><time>Sabtu, 21 Januari 2017 17:11</time></div>","['div', 'time']","Sabtu, 21 Januari 2017 17:11",5,0,4,1,2.0,14.7,0
244,244,<div></div>,['div'],,0,0,1,0,0.0,4.8,0
246,246,"<div><div>tribunnews batam/leo</div><div>Majelis Agung Istiadat Penganugerahan Darjah Kebesaran Kerajaan Riau-Lingga secara resmi memberikan gelar Datok Perdana Satria Wangsa kepada Kepala Polisi Republik Indonesia (Kapolri) Jenderal Polisi Tito Karnavian di Balai Adat Indra Perkasa, Pulau Penyengat, Sabtu (21/1/2017). </div></div> ","['div', 'div', 'div']","tribunnews batam/leoMajelis Agung Istiadat Penganugerahan Darjah Kebesaran Kerajaan Riau-Lingga secara resmi memberikan gelar Datok Perdana Satria Wangsa kepada Kepala Polisi Republik Indonesia (Kapolri) Jenderal Polisi Tito Karnavian di Balai Adat Indra Perkasa, Pulau Penyengat, Sabtu (21/1/2017).  ",36,0,7,0,29.0,11.6,5
247,247,<div></div>,['div'],,0,0,1,0,0.0,5.8,5
253,253,"<p><strong>BATAM.TRIBUNNEWS.COM, TANJUNGPINANG-</strong> Majelis Agung Istiadat Penganugerahan Darjah Kebesaran Kerajaan Riau-Lingga secara resmi memberikan gelar Datok Perdana Satria Wangsa kepada Kepala Polisi Republik Indonesia (Kapolri) Jenderal Polisi <a href=""http://batam.tribunnews.com/tag/tito-karnavian"" title=""Tito Karnavian"">Tito Karnavian</a>.</p>","['p', 'strong', 'a']","BATAM.TRIBUNNEWS.COM, TANJUNGPINANG- Majelis Agung Istiadat Penganugerahan Darjah Kebesaran Kerajaan Riau-Lingga secara resmi memberikan gelar Datok Perdana Satria Wangsa kepada Kepala Polisi Republik Indonesia (Kapolri) Jenderal Polisi Tito Karnavian.",26,2,6,1,22.0,12.7,6
254,254,"<p>Penganugrahan gelar tersebut dilakukan dengan upacara adat di Balai Adat Indra Perkasa, Pulau Penyengat, Sabtu (21/1/2017).</p>",['p'],"Penganugrahan gelar tersebut dilakukan dengan upacara adat di Balai Adat Indra Perkasa, Pulau Penyengat, Sabtu (21/1/2017).",16,0,2,1,15.0,13.1,6
255,255,<p>Tito sampai di Balai Adat mengendarai becak motor bersama istri.</p>,['p'],Tito sampai di Balai Adat mengendarai becak motor bersama istri.,10,0,2,1,9.0,11.4,6
256,256,<p>Kedatangan Tito di Pulau Penyengat dikawal ketat oleh aparat kepolisian.</p>,['p'],Kedatangan Tito di Pulau Penyengat dikawal ketat oleh aparat kepolisian.,10,0,2,1,9.0,10.1,6
257,257,<p>Kemudian Tito disambut dengan pencak silat serta tarian melayu.</p>,['p'],Kemudian Tito disambut dengan pencak silat serta tarian melayu.,9,0,2,1,8.0,10.1,6
