,Unnamed: 0,HTML,TAG,Words,TC,LTC,TG,P,CTTD,CTTDs,candidate
163,163,"SUKA SATE DAN CUACANYA, CANTONA SEBUT MALAYSIA RUMAH KEDUANYA",[],"SUKA SATE DAN CUACANYA, CANTONA SEBUT MALAYSIA RUMAH KEDUANYA",9,0,0,0,9.0,14.3,0
164,164,,[],,0,0,1,0,0.0,23.2,0
165,165,"<h1>Suka Sate dan Cuacanya, Cantona Sebut Malaysia Rumah Keduanya</h1>",['h1'],"Suka Sate dan Cuacanya, Cantona Sebut Malaysia Rumah Keduanya",9,0,2,100,107.0,43.8,0
166,166,<div>03-10-2016 19:47</div>,['div'],03-10-2016 19:47,2,0,2,0,0.0,21.6,0
167,167,<h2> | eric cantona</h2>,['h2'], | eric cantona,3,0,2,0,1.0,11.1,0
168,168,<div></div>,['div'],,0,0,1,0,0.0,0.4,0
171,171,,[],,0,0,1,0,0.0,9.8,5
172,172,<div></div>,['div'],,0,0,1,0,0.0,19.0,5
173,173,"<b>Bola.net</b> - Legenda<b> Manchester United</b>, <b>Eric Cantona</b>, mengaku suka dengan sejumlah makanan lokal Malaysia seperti sate dan ia menyebut tetangga Indonesia itu sebagai rumah keduanya.Pekan kemarin, pria asal Prancis tersebut kembali berkunjung ke Malaysia untuk keperluan promosi. Itu adalah kunjungannya yang kelima ke negara tersebut. Di sana ia sempat singgah ke kota Penang, Kota Bahru, Kuantan, Kuala Lumpur dan Petaling Jaya.Dalam sebuah acara meet dan greet, Cantona mengaku bahwa ia sangat menyukai negeri Jiran tersebut. Ia juga menyukai sejumlah makanan lokal di sana.""Saya suka karipap, kerepok lekor dan satay, dan sejumlah makanan lokal di sini. Saya juga suka cuacanya, meski lembab,"" seru pria kelahiran Marseille 50 tahun lalu ini.""Saya menganggap Malaysia rumah kedua saya,"" aku Cantona seperti dilansir <i>The New Strait Times</i>. <b>(tnst/dim)</b><div><h3>Baca Juga:</h3><div><div><a data-te-category=""Insert Link"" data-te-label=""Alami Cedera di Madrid, James Dihibur Sang Ibu"" data-te-tracked=""click"" href=""http://www.bola.net/spanyol/alami-cedera-di-madrid-james-dihibur-sang-ibu-00f86a.html"">Alami Cedera di Madrid, James Dihibur Sang Ibu</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Ronaldo: Hidup Bukan Cuma Soal Sepakbola"" data-te-tracked=""click"" href=""http://www.bola.net/spanyol/ronaldo-hidup-bukan-cuma-soal-sepakbola-f386b2.html"">Ronaldo: Hidup Bukan Cuma Soal Sepakbola</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Rayakan 20 Tahun di Arsenal, Wenger Dapat Hadiah Gelas Cantik"" data-te-tracked=""click"" href=""http://www.bola.net/bolatainment/rayakan-20-tahun-di-arsenal-wenger-dapat-hadiah-gelas-cantik-38902b.html"">Rayakan 20 Tahun di Arsenal, Wenger Dapat Hadiah Gelas Cantik</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Messi Sumbang Jersey untuk Korban Tabrak Lari"" data-te-tracked=""click"" href=""http://www.bola.net/bolatainment/messi-sumbang-jersey-untuk-korban-tabrak-lari-53090a.html"">Messi Sumbang Jersey untuk Korban Tabrak Lari</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Makin Serius, Ronaldo Ajak Desire Cordero Bertemu Keluarga Besar"" data-te-tracked=""click"" href=""http://www.bola.net/bolatainment/makin-serius-ronaldo-ajak-desire-cordero-bertemu-keluarga-besar-6bce2a.html"">Makin Serius, Ronaldo Ajak Desire Cordero Bertemu Keluarga Besar</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Iwobi Tantang Arsene Wenger Main FIFA 17"" data-te-tracked=""click"" href=""http://www.bola.net/inggris/iwobi-tantang-arsene-wenger-main-fifa-17-46e44b.html"">Iwobi Tantang Arsene Wenger Main FIFA 17</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Pengangguran Ini Habiskan 330 Juta Demi Punya Wajah Mirip Beckham"" data-te-tracked=""click"" href=""http://www.bola.net/bolatainment/pengangguran-ini-habiskan-330-juta-demi-punya-wajah-mirip-beckham-495d87.html"">Pengangguran Ini Habiskan 330 Juta Demi Punya Wajah Mirip Beckham</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Galeri: Pesta Ulang Tahun ke-40 Francesco Totti"" data-te-tracked=""click"" href=""http://www.bola.net/open-play/galeri-pesta-ulang-tahun-ke-40-francesco-totti-1a200c.html"">Galeri: Pesta Ulang Tahun ke-40 Francesco Totti</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Buat Blunder, Ronaldo Kritik Keylor Navas"" data-te-tracked=""click"" href=""http://www.bola.net/open-play/buat-blunder-ronaldo-kritik-keylor-navas-82c1be.html"">Buat Blunder, Ronaldo Kritik Keylor Navas</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Sok Jago, Luca Zidane Kebobolan Gol Konyol"" data-te-tracked=""click"" href=""http://www.bola.net/open-play/sok-jago-luca-zidane-kebobolan-gol-konyol-f74882.html"">Sok Jago, Luca Zidane Kebobolan Gol Konyol</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Klopp Asyik Joget di Konser Robbie Williams"" data-te-tracked=""click"" href=""http://www.bola.net/open-play/klopp-asyik-joget-di-konser-robbie-williams-3c2ed5.html"">Klopp Asyik Joget di Konser Robbie Williams</a></div><div><a data-te-category=""Insert Link"" data-te-label=""Komedian Terkenal Ambil Alih Tugas Wenger di Arsenal"" data-te-tracked=""click"" href=""http://www.bola.net/open-play/komedian-terkenal-ambil-alih-tugas-wenger-di-arsenal-77514b.html"">Komedian Terkenal Ambil Alih Tugas Wenger di Arsenal</a></div></div></div>","['b', 'b', 'b', 'i', 'b', 'div', 'h3', 'div', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a', 'div', 'a']","Bola.net - Legenda Manchester United, Eric Cantona, mengaku suka dengan sejumlah makanan lokal Malaysia seperti sate dan ia menyebut tetangga Indonesia itu sebagai rumah keduanya.Pekan kemarin, pria asal Prancis tersebut kembali berkunjung ke Malaysia untuk keperluan promosi. Itu adalah kunjungannya yang kelima ke negara tersebut. Di sana ia sempat singgah ke kota Penang, Kota Bahru, Kuantan, Kuala Lumpur dan Petaling Jaya.Dalam sebuah acara meet dan greet, Cantona mengaku bahwa ia sangat menyukai negeri Jiran tersebut. Ia juga menyukai sejumlah makanan lokal di sana.""Saya suka karipap, kerepok lekor dan satay, dan sejumlah makanan lokal di sini. Saya juga suka cuacanya, meski lembab,"" seru pria kelahiran Marseille 50 tahun lalu ini.""Saya menganggap Malaysia rumah kedua saya,"" aku Cantona seperti dilansir The New Strait Times. (tnst/dim)Baca Juga:Alami Cedera di Madrid, James Dihibur Sang IbuRonaldo: Hidup Bukan Cuma Soal SepakbolaRayakan 20 Tahun di Arsenal, Wenger Dapat Hadiah Gelas CantikMessi Sumbang Jersey untuk Korban Tabrak LariMakin Serius, Ronaldo Ajak Desire Cordero Bertemu Keluarga BesarIwobi Tantang Arsene Wenger Main FIFA 17Pengangguran Ini Habiskan 330 Juta Demi Punya Wajah Mirip BeckhamGaleri: Pesta Ulang Tahun ke-40 Francesco TottiBuat Blunder, Ronaldo Kritik Keylor NavasSok Jago, Luca Zidane Kebobolan Gol KonyolKlopp Asyik Joget di Konser Robbie WilliamsKomedian Terkenal Ambil Alih Tugas Wenger di Arsenal",112,92,64,0,94.0,37.6,5
174,174,<div></div>,['div'],,0,0,1,0,0.0,18.8,5
