,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
0,"<!DOCTYPE html>
",[],0,0,0,0,0.0,0.0
1,,[],0,0,0,0,0.0,0.0
2,"<html itemscope=""itemscope"" itemtype=""http://schema.org/WebPage"" lang=""id"" prefix=""og: http://ogp.me/ns#""></html>",['html'],0,0,1,0,0.0,0.0
3,<head></head>,['head'],0,0,1,0,0.0,0.0
4,,[],0,0,0,0,0.0,0.0
5,,[],0,0,0,0,0.0,0.0
6,,[],0,0,0,0,0.0,0.0
7,,[],0,0,1,0,0.0,0.0
8,"<body class=""wp-new v3 news""></body>",['body'],0,0,1,0,0.0,0.0
9,,[],0,0,0,0,0.0,0.0
10,"<div style=""display:none;""></div>",['div'],0,0,1,0,0.0,0.0
11,"<a href=""http://www.alexa.com/siteinfo/okezone.com""></a>",['a'],0,0,2,0,0.0,0.0
12,,[],0,0,1,0,0.0,0.0
13,,[],0,0,0,0,0.0,0.0
14,,[],0,0,0,0,0.0,0.0
15,,[],0,0,0,0,0.0,0.0
16,,[],0,0,0,0,0.0,0.0
17,,[],0,0,0,0,0.0,0.0
18,"<div style=""margin-top:-20px;""></div>",['div'],0,0,1,0,0.0,0.0
19,,[],0,0,0,0,0.0,0.0
20,,[],0,0,0,0,0.0,0.0
21,,[],0,0,1,0,0.0,0.0
22,"<div class=""floating-popup1""></div>",['div'],0,0,1,0,0.0,0.0
23,"<div class=""floating-popup"" id=""div-gpt-ad-1465801289714-0""></div>",['div'],0,0,1,0,0.0,0.0
24,,[],0,0,0,0,0.0,0.0
25,,[],0,0,1,0,0.0,0.0
26,,[],0,0,1,0,0.0,0.0
27,"<div class=""container ads-skin""></div>",['div'],0,0,1,0,0.0,0.0
28,"<div id=""skinad""></div>",['div'],0,0,1,0,0.0,0.0
29,"<div class=""bn_skin bn_skin1""></div>",['div'],0,0,1,0,0.0,0.0
30,"<div class=""skin3 skinad_1""></div>",['div'],0,0,1,0,0.0,0.0
31,"<div id=""div-gpt-ad-1464584733905-0""></div>",['div'],0,0,1,0,0.0,0.0
32,,[],0,0,0,0,0.0,0.0
33,,[],0,0,1,0,0.0,0.0
34,,[],0,0,1,0,0.0,0.0
35,,[],0,0,1,0,0.0,0.0
36,"<div class=""bn_skin bn_skin2""></div>",['div'],0,0,1,0,0.0,0.0
37,"<div class=""skin3 skinad_2""></div>",['div'],0,0,1,0,0.0,0.0
38,"<div id=""div-gpt-ad-1464584879354-0""></div>",['div'],0,0,1,0,0.0,0.0
39,,[],0,0,0,0,0.0,0.0
40,,[],0,0,1,0,0.0,0.0
41,,[],0,0,1,0,0.0,0.0
42,,[],0,0,1,0,0.0,0.0
43,,[],0,0,1,0,0.0,0.0
44,,[],0,0,1,0,0.0,0.0
45,"<div class=""clearfix""></div>",['div'],0,0,2,0,0.0,0.0
46,"<div class=""container-navmobile""></div>",['div'],0,0,1,0,0.0,0.0
47,"<nav class=""navbar navbar-fixed-top navbar-mobile-wp""></nav>",['nav'],0,0,1,0,0.0,0.0
48,"<div class=""container""></div>",['div'],0,0,1,0,0.0,0.0
49,"<div class=""navbar-header""></div>",['div'],0,0,1,0,0.0,0.4
50,"<button aria-controls=""navbar"" aria-expanded=""false"" class=""navbar-toggle collapsed"" data-target=""#navbar"" data-toggle=""collapse"" type=""button""></button>",['button'],0,0,1,0,0.0,0.8
51,"<span class=""sr-only"">Toggle navigation</span>",['span'],2,0,2,0,4.0,1.6
52,"<span class=""icon-bar""></span>",['span'],0,0,2,0,0.0,0.8
53,"<span class=""icon-bar""></span>",['span'],0,0,2,0,0.0,0.4
54,"<span class=""icon-bar""></span>",['span'],0,0,2,0,0.0,0.0
55,,[],0,0,1,0,0.0,0.0
56,,[],0,0,1,0,0.0,0.0
57,"<div class=""collapse navbar-collapse"" id=""navbar""></div>",['div'],0,0,1,0,0.0,0.45
58,"<ul class=""nav navbar-nav""></ul>",['ul'],0,0,1,0,0.0,1.35
