,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
0,"<!DOCTYPE html>
",[],0,0,0,0,0.0,0.0
1,,[],0,0,0,0,0.0,0.0
2,<html></html>,['html'],0,0,1,0,0.0,0.0
3,<head></head>,['head'],0,0,1,0,0.0,0.0
4,,[],0,0,1,0,0.0,0.0
5,<body></body>,['body'],0,0,1,0,0.0,0.0
6,,[],0,0,0,0,0.0,0.0
7,,[],0,0,0,0,0.0,0.0
8,,[],0,0,0,0,0.0,0.0
9,,[],0,0,0,0,0.0,0.0
10,"<div class=""bn_skin bn_skin1""></div>",['div'],0,0,1,0,0.0,0.0
11,"<div class=""skin3""></div>",['div'],0,0,1,0,0.0,0.0
12,,[],0,0,0,0,0.0,0.0
13,,[],0,0,1,0,0.0,0.0
14,,[],0,0,1,0,0.0,0.0
15,"<div class=""bn_skin bn_skin2""></div>",['div'],0,0,1,0,0.0,0.0
16,"<div class=""skin3""></div>",['div'],0,0,1,0,0.0,0.0
17,,[],0,0,0,0,0.0,0.0
18,,[],0,0,1,0,0.0,0.0
19,,[],0,0,1,0,0.0,0.0
20,,[],0,0,0,0,0.0,0.0
21,,[],0,0,0,0,0.0,0.0
22,,[],0,0,0,0,0.0,0.0
23,"<div class=""bottom_banner_bar"" style=""display:none;""></div>",['div'],0,0,1,0,0.0,0.0
24,"<div align=""left"" id=""bottom_banner""></div>",['div'],0,0,1,0,0.0,0.0
25,"<div class=""container_topbanner""></div>",['div'],0,0,1,0,0.0,0.0
26,,[],0,0,0,0,0.0,0.0
27,,[],0,0,1,0,0.0,0.0
28,,[],0,0,1,0,0.0,0.0
29,,[],0,0,1,0,0.0,0.0
30,,[],0,0,0,0,0.0,0.0
31,,[],0,0,0,0,0.0,0.0
32,,[],0,0,0,0,0.0,0.0
33,,[],0,0,0,0,0.0,0.0
34,,[],0,0,0,0,0.0,0.0
35,,[],0,0,0,0,0.0,0.0
36,"<div class=""container""></div>",['div'],0,0,1,0,0.0,0.0
37,"<div class=""header navbar_ga""></div>",['div'],0,0,1,0,0.0,0.0
38,"<a href=""//finance.detik.com/""></a>",['a'],0,0,1,0,0.0,0.0
39,"<img alt=""detikfinance"" class=""logodetik"" src=""https://cdn.detik.net.id/finance/images/logo-detikfinance.png""/>",['img'],0,0,2,0,0.0,0.0
40,,[],0,0,1,0,0.0,0.0
41,"<div class=""fr"" id=""leaderboard""></div>",['div'],0,0,1,0,0.0,0.0
42,,[],0,0,1,0,0.0,0.0
43,,[],0,0,1,0,0.0,0.0
44,"<div class=""header_top navbar_ga""></div>",['div'],0,0,1,0,0.0,0.0
45,"<div class=""menu""></div>",['div'],0,0,1,0,0.0,0.0
46,<ul></ul>,['ul'],0,0,1,0,0.0,0.45
47,"<li class=""menud""><a href=""//detik.com""><img alt="""" src=""https://cdn.detik.net.id/finance/images/favicon_detikcom.png""/></a><li></li></li>","['li', 'a', 'img', 'li']",0,0,6,0,0.0,1.4
48,"<li><a href=""//finance.detik.com/"">Home</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5,3.25
49,"<li><a href=""//finance.detik.com/ekonomi-bisnis"">Ekonomi Bisnis</a><li></li></li>","['li', 'a', 'li']",0,2,4,0,5.0,4.3
50,"<li><a href=""//finance.detik.com/finansial"">Finansial</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5,4.75
51,"<li><a href=""//finance.detik.com/peluang-usaha"">Peluang Usaha</a><li></li></li>","['li', 'a', 'li']",0,2,4,0,5.0,4.85
52,"<li><a href=""//finance.detik.com/perencanaan-keuangan"">Perencanaan Keuangan</a><li></li></li>","['li', 'a', 'li']",0,2,4,0,5.0,4.8
53,"<li><a href=""//finance.detik.com/properti"">Properti</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5,4.65
54,"<li><a href=""//finance.detik.com/energi"">Energi</a><li></li></li>","['li', 'a', 'li']",0,1,4,0,4.5,4.55
