,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
0,"<!DOCTYPE html>
",[],0,0,0,0,0.0,0.0
1,,[],0,0,0,0,0.0,0.0
2,"<html lang=""en""></html>",['html'],0,0,1,0,0.0,0.0
3,<head></head>,['head'],0,0,1,0,0.0,0.0
4,,[],0,0,0,0,0.0,0.0
5,,[],0,0,0,0,0.0,0.0
6,,[],0,0,1,0,0.0,0.0
7,<body></body>,['body'],0,0,1,0,0.0,0.0
8,,[],0,0,0,0,0.0,0.0
9,,[],0,0,0,0,0.0,0.0
10,,[],0,0,0,0,0.0,0.0
11,"<div class=""container pt4""></div>",['div'],0,0,1,0,0.0,0.0
12,,[],0,0,0,0,0.0,0.0
13,"<div class=""kcm-topbar""></div>",['div'],0,0,1,0,0.0,0.45
14,<ul></ul>,['ul'],0,0,1,0,0.0,1.35
15,"<li class=""active""><a href=""http://www.kompas.com"" target=""_blank"">Kompas.com</a></li>","['li', 'a']",0,1,4,0,4.5,3.15
16,"<li><a href=""http://www.kompasiana.com"" target=""_blank"">Kompasiana.com</a></li>","['li', 'a']",0,1,4,0,4.5,4.05
17,"<li><a href=""http://www.kompaskarier.com"" target=""_blank"">KompasKarier.com</a></li>","['li', 'a']",0,1,4,0,4.5,4.5
18,"<li><a href=""http://www.gramedia.com"" target=""_blank"">Gramedia.com</a></li>","['li', 'a']",0,1,4,0,4.5,4.5
19,"<li><a href=""http://www.otomania.com"" target=""_blank"">Otomania.com</a></li>","['li', 'a']",0,1,4,0,4.5,4.05
20,"<li><a href=""http://www.juara.net"" target=""_blank"">Juara.net</a></li>","['li', 'a']",0,1,4,0,4.5,3.15
21,,[],0,0,1,0,0.0,1.35
22,,[],0,0,1,0,0.0,0.45
23,,[],0,0,0,0,0.0,0.0
24,,[],0,0,0,0,0.0,0.0
25,"<div class=""row kcm-header""></div>",['div'],0,0,1,0,0.0,0.0
26,"<div class=""header-top clearfix""></div>",['div'],0,0,1,0,0.0,0.0
27,"<div class=""kcm-span4 header-top-left""></div>",['div'],0,0,1,0,0.0,0.6
28,"<ul class=""msmall""></ul>",['ul'],0,0,1,0,0.0,1.7
29,"<li><a href=""http://print.kompas.com/"" target=""_blank"">Harian Kompas</a> | </li>","['li', 'a']",1,2,4,0,6.0,3.4
30,"<li><a href=""http://www.kompas.tv/"" target=""_blank"">Kompas TV</a></li>","['li', 'a']",0,2,4,0,5.0,3.2
31,,[],0,0,1,0,0.0,1.6
32,"<div class=""log""><a href=""http://www.kompas.com""><img src=""http://assets.kompas.com/data/2015/kanal/bisnis/images/kcm-logo.png""/></a></div>","['div', 'a', 'img']",0,0,6,0,0.0,1.0
33,"<div class=""msmall grey""></div>",['div'],0,0,1,0,0.0,1.0
34,"Selasa, 4 Oktober 2016				",[],4,0,1,0,5.0,2.0
35,,[],0,0,1,0,0.0,1.3
36,"<div class=""kcm-span5 header-top-center""></div>",['div'],0,0,1,0,0.0,1.1
37,"<h1 class=""tcenter xbold mt1"">Ekonomi</h1>",['h1'],1,0,2,0,3.0,1.2
38,,[],0,0,1,0,0.0,0.6
39,"<div class=""kcm-span4 header-top-right tright""></div>",['div'],0,0,1,0,0.0,0.3
40,"<div class=""msmall""></div>",['div'],0,0,1,0,0.0,0.0
41,"<span id=""txt_name""></span>",['span'],0,0,2,0,0.0,0.0
42,"<span id=""txt_status""></span>",['span'],0,0,2,0,0.0,0.35
43,"<span id=""txt_register""></span>",['span'],0,0,1,0,0.0,0.7
44,"<a class=""fn_register"" href=""https://sso.kompas.com/register/a29tcGFz"">Register</a> |",['a'],1,1,2,0,3.5,1.4
45,,[],0,0,1,0,0.0,0.95
46,"<span id=""txt_signin""></span>",['span'],0,0,1,0,0.0,0.85
