,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
68,"<li class=""logos""><a href=""https://www.tempo.co"" title=""Home""></a></li>","['li', 'a']",0,0,4,0,0.0,0.25
69,<li></li>,['li'],0,0,1,0,0.0,0.5
70,"<a href=""https://nasional.tempo.co"" title=""Politik"">Nasional</a>",['a'],0,1,2,0,2.5,1.0
71,,[],0,0,1,0,0.0,0.75
72,<li></li>,['li'],0,0,1,0,0.0,0.75
73,"<a href=""https://bisnis.tempo.co"" title=""Bisnis"">Bisnis</a>",['a'],0,1,2,0,2.5,1.0
74,,[],0,0,1,0,0.0,0.75
75,<li></li>,['li'],0,0,1,0,0.0,0.75
76,"<a href=""https://metro.tempo.co"" title=""Metro"">Metro</a>",['a'],0,1,2,0,2.5,1.0
77,,[],0,0,1,0,0.0,0.75
78,<li></li>,['li'],0,0,1,0,0.0,0.75
79,"<a href=""https://dunia.tempo.co"" title=""Dunia"">Dunia</a>",['a'],0,1,2,0,2.5,1.0
80,,[],0,0,1,0,0.0,0.5
81,"<div id=""main-menu-sub""></div>",['div'],0,0,1,0,0.0,0.45
82,<ul></ul>,['ul'],0,0,1,0,0.0,0.4
83,<li>Bola</li>,['li'],1,0,1,0,2.0,1.25
84,<ul></ul>,['ul'],0,0,1,0,0.0,1.75
85,"<li><a href=""https://bola.tempo.co"" title=""Bola"">Bola</a></li>","['li', 'a']",0,1,4,0,4.5,2.9
86,"<li><a href=""https://sport.tempo.co"" title=""Sport"">Sport</a></li>","['li', 'a']",0,1,4,0,4.5,2.7
87,,[],0,0,1,0,0.0,1.35
88,,[],0,0,1,0,0.0,0.45
89,,[],0,0,1,0,0.0,0.0
90,,[],0,0,1,0,0.0,0.0
91,,[],0,0,0,0,0.0,0.25
92,<li></li>,['li'],0,0,1,0,0.0,0.5
93,"<a href=""https://gaya.tempo.co"" title=""Gaya"">Gaya</a>",['a'],0,1,2,0,2.5,1.0
94,,[],0,0,1,0,0.0,0.75
95,<li></li>,['li'],0,0,1,0,0.0,0.75
96,"<a href=""https://seleb.tempo.co"" title=""Seleb"">Seleb</a>",['a'],0,1,2,0,2.5,1.0
97,,[],0,0,1,0,0.0,0.75
98,<li></li>,['li'],0,0,1,0,0.0,0.75
99,"<a href=""https://cantik.tempo.co"" title=""Cantik"">Cantik</a>",['a'],0,1,2,0,2.5,1.0
100,,[],0,0,1,0,0.0,0.75
101,"<li class=""selected""></li>",['li'],0,0,1,0,0.0,0.75
102,"<a href=""https://tekno.tempo.co"" title=""Tekno"">Tekno</a>",['a'],0,1,2,0,2.5,1.0
103,,[],0,0,1,0,0.0,0.75
104,<li></li>,['li'],0,0,1,0,0.0,0.75
105,"<a href=""http://otomotif.tempo.co"" title=""Otomotif"">Otomotif</a>",['a'],0,1,2,0,2.5,1.0
106,,[],0,0,1,0,0.0,0.75
107,<li></li>,['li'],0,0,1,0,0.0,0.75
108,"<a href=""https://travel.tempo.co"" title=""Travel"">Travel</a>",['a'],0,1,2,0,2.5,1.0
109,,[],0,0,1,0,0.0,0.75
110,<li></li>,['li'],0,0,1,0,0.0,0.75
111,"<a href=""http://foto.tempo.co"" title=""Foto"">Foto</a>",['a'],0,1,2,0,2.5,1.45
112,,[],0,0,1,0,0.0,1.85
113,"<li><a href=""https://video.tempo.co"" title=""Video"">Video</a></li>","['li', 'a']",0,1,4,0,4.5,3.4
114,"<li><a href=""http://grafis.tempo.co"" title=""Grafis"">Grafis</a></li>","['li', 'a']",0,1,4,0,4.5,4.05
115,"<li><a href=""https://kolom.tempo.co"">Kolom</a></li>","['li', 'a']",0,1,4,0,4.5,4.05
116,"<li><a href=""https://www.tempo.co/indeks"" title=""Indeks"">Indeks</a></li>","['li', 'a']",0,1,4,0,4.5,3.15
117,,[],0,0,1,0,0.0,1.35
118,,[],0,0,0,0,0.0,0.45
119,,[],0,0,1,0,0.0,0.0
120,"<div class=""pages-col""></div>",['div'],0,0,1,0,0.0,0.0
121,"<div class=""blocking m15-b"" style=""text-align:center;""></div>",['div'],0,0,1,0,0.0,0.0
122,"<div id=""div-gpt-ad-1432034735081-1"" style=""height:auto; width:auto; text-align:center;""></div>",['div'],0,0,1,0,0.0,0.0
123,,[],0,0,0,0,0.0,0.0
124,,[],0,0,2,0,0.0,0.0
125,"<div class=""right-col""></div>",['div'],0,0,1,0,0.0,0.0
126,"<div class=""w300 m10-b""></div>",['div'],0,0,1,0,0.0,0.0
127,"<div class=""banner300x250 top""></div>",['div'],0,0,1,0,0.0,0.0
128,"<div id=""div-gpt-ad-1422512954465-1"" style=""width:300px; height:auto;padding-bottom:3px;""></div>",['div'],0,0,1,0,0.0,0.0
129,,[],0,0,0,0,0.0,0.0
130,"<div class=""banner300x250""></div>",['div'],0,0,3,0,0.0,0.0
131,"<div id=""div-gpt-ad-1422512954465-2"" style=""width:300px; height:auto;padding-bottom:3px;""></div>",['div'],0,0,1,0,0.0,0.0
132,,[],0,0,0,0,0.0,0.0
133,"<div class=""banner300x250""></div>",['div'],0,0,3,0,0.0,0.0
134,"<div id=""div-gpt-ad-1422512954465-3"" style=""width:300px; height:auto;""></div>",['div'],0,0,1,0,0.0,0.0
135,,[],0,0,0,0,0.0,0.0
136," <div class=""blocking m15-t m15-b""></div>",['div'],0,0,3,0,0.0,0.5
137,"<div id=""tops""></div>",['div'],0,0,1,0,0.0,1.0
138,"<h2 class=""title"">Top 10 Teknologi</h2>",['h2'],3,0,2,0,5.0,2.3
139,"<div id=""tops-1""></div>",['div'],0,0,1,0,0.0,2.45
140,"<span class=""number"">1</span>",['span'],1,0,2,0,3.0,3.7
141,"<h3><a href=""https://tekno.tempo.co/read/news/2016/10/03/061809188/iphone-6-plus-terbakar-di-saku-terdengar-letupan-lalu"" title=""iPhone 6 Plus Terbakar di Saku, Terdengar Letupan Lalu..."">iPhone 6 Plus Terbakar di Saku, Terdengar Letupan Lalu...</a></h3>","['h3', 'a']",0,9,4,0,8.5,5.35
142,"<span class=""number"">2</span>",['span'],1,0,2,0,3.0,5.0
